hashtag_H 	 cluster_C_leader(userID) 	 relative_frequency_H_C 	 frequency_H_in_C 	 frequency_H_overall 	 count_H_in_C 	 count_hashtags_in_C 	 count_H_entire_dataset 	 count_hashtags_entire_dataset
Trump 	 1155192156 	 6 5 1 1 1 1 .8851613322 	 6 5 1 1 1 1 .0010050251 	 6 5 1 1 1 1 1 	 46 	 121 	 106569
Ukraine 	 1155192156 	 30 6 2 1 1 1 1 1 1 1 1 .0000001653 232 .0000656851 	 30 6 2 1 1 1 1 1 1 1 1 .0010050251 	 30 6 2 1 1 1 1 1 1 1 1 1 	 2509 83 4 	 6080 232 7 	 106569
nuclear 	 1155192156 	 2.2788196598 	 .0010050251 	 1 	 19 	 47 	 106569
Anonymous 	 1155192156 	 2.8947169280 	 .0060301507 	 6 	 116 	 222 	 106569
StandWithUkriane 	 1155192156 	 2 .7650323193 	 2 .0010050251 	 2 1 	 35 	 140 	 106569
StandWithUkraine 	 1155192156 	 6 2 1 .0000006509 .0026086385 	 6 2 1 .0010050251 	 6 2 1 1 	 240 67 	 1544 278 	 106569
StandWithUkriane 	 1155192156 	 2 .7650323193 	 2 .0010050251 	 2 1 	 35 	 140 	 106569
BetoForGovernor 	 1155192156 	 11.7145585595 	 .0070351758 	 7 	 16 	 64 	 106569
EU 	 1155192156 	 .6017108036 	 .0010050251 	 1 	 71 	 178 	 106569
Belarus 	 1155192156 	 .9395133507 	 .0020100502 	 2 	 97 	 228 	 106569
IStandWithUkriane 	 1155192156 	 1.1274160314 	 .0010050251 	 1 	 15 	 95 	 106569
IStandWithUkraine 	 1155192156 	 1 .0000053458 .0002064390 	 1 .0010050251 	 1 1 	 35 5 	 188 22 	 106569
TFG 	 1155192156 	 10.0410500511 	 .0030150753 	 3 	 9 	 32 	 106569
Ukraine 	 1155192156 	 30 6 2 1 1 1 1 1 1 1 1 .0000001653 232 .0000656851 	 30 6 2 1 1 1 1 1 1 1 1 .0010050251 	 30 6 2 1 1 1 1 1 1 1 1 1 	 2509 83 4 	 6080 232 7 	 106569
Anonymous 	 1155192156 	 2.8947169280 	 .0060301507 	 6 	 116 	 222 	 106569
AfricansinUkraine 	 1155192156 	 7.1403052706 	 .0010050251 	 1 	 5 	 15 	 106569
Trump 	 1155192156 	 6 5 1 1 1 1 .8851613322 	 6 5 1 1 1 1 .0010050251 	 6 5 1 1 1 1 1 	 46 	 121 	 106569
CPAC 	 1155192156 	 11.9005059660 	 .0010050251 	 1 	 4 	 9 	 106569
DefeatPutin 	 1155192156 	 14.6051632685 	 .0030150753 	 3 	 11 	 22 	 106569
Anonymous 	 1155192156 	 2.8947169280 	 .0060301507 	 6 	 116 	 222 	 106569
DefeatPutin 	 1155192156 	 14.6051632685 	 .0030150753 	 3 	 11 	 22 	 106569
Ukraine 	 1155192156 	 30 6 2 1 1 1 1 1 1 1 1 .0000001653 232 .0000656851 	 30 6 2 1 1 1 1 1 1 1 1 .0010050251 	 30 6 2 1 1 1 1 1 1 1 1 1 	 2509 83 4 	 6080 232 7 	 106569
NoFlyZone 	 1155192156 	 2.4908030941 	 .0010050251 	 1 	 16 	 43 	 106569
Ukraine 	 1155192156 	 30 6 2 1 1 1 1 1 1 1 1 .0000001653 232 .0000656851 	 30 6 2 1 1 1 1 1 1 1 1 .0010050251 	 30 6 2 1 1 1 1 1 1 1 1 1 	 2509 83 4 	 6080 232 7 	 106569
StandWithUkraine 	 1155192156 	 6 2 1 .0000006509 .0026086385 	 6 2 1 .0010050251 	 6 2 1 1 	 240 67 	 1544 278 	 106569
BanFoxFromBases 	 1155192156 	 13.3880711934 	 .0010050251 	 1 	 4 	 8 	 106569
txed 	 1155192156 	 26.7761430529 	 .0040201005 	 4 	 5 	 16 	 106569
txlege 	 1155192156 	 7.3503108210 	 .0070351758 	 7 	 16 	 102 	 106569
PlannedParenthood 	 1155192156 	 26.7761780558 	 .0010050251 	 1 	 1 	 4 	 106569
Ukraine 	 1155192156 	 30 6 2 1 1 1 1 1 1 1 1 .0000001653 232 .0000656851 	 30 6 2 1 1 1 1 1 1 1 1 .0010050251 	 30 6 2 1 1 1 1 1 1 1 1 1 	 2509 83 4 	 6080 232 7 	 106569
Anonymous 	 1155192156 	 2.8947169280 	 .0060301507 	 6 	 116 	 222 	 106569
StandWithUkraine 	 1155192156 	 6 2 1 .0000006509 .0026086385 	 6 2 1 .0010050251 	 6 2 1 1 	 240 67 	 1544 278 	 106569
PutinsWar 	 1155192156 	 .9478276803 	 .0010050251 	 1 	 26 	 113 	 106569
PrayForUkraine 	 1155192156 	 3.5701513670 	 .0010050251 	 1 	 8 	 30 	 106569
Ukraine 	 1155192156 	 30 6 2 1 1 1 1 1 1 1 1 .0000001653 232 .0000656851 	 30 6 2 1 1 1 1 1 1 1 1 .0010050251 	 30 6 2 1 1 1 1 1 1 1 1 1 	 2509 83 4 	 6080 232 7 	 106569
PutinsGOP 	 1155192156 	 7.1403052706 	 .0010050251 	 1 	 7 	 15 	 106569
ERCOT 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
Russia 	 1155192156 	 11 2 1 1 1 1 1 .0440578034 	 11 2 1 1 1 1 1 .0010050251 	 11 2 1 1 1 1 1 1 	 1029 	 2431 	 106569
RoseTyler 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
DoctorWho 	 1155192156 	 35.7016024468 	 .0010050251 	 1 	 1 	 3 	 106569
BlackHistoryMonth 	 1155192156 	 2.2313442081 	 .0020100502 	 2 	 30 	 96 	 106569
BetoForTexas 	 1155192156 	 7.1403016435 	 .0040201005 	 4 	 12 	 60 	 106569
BetoForGovernor 	 1155192156 	 11.7145585595 	 .0070351758 	 7 	 16 	 64 	 106569
COVID 	 1155192156 	 28 5 2 .2467846118 	 28 5 2 .0010050251 	 28 5 2 1 	 169 	 434 	 106569
WomensArt 	 1155192156 	 3.0601292773 	 .0010050251 	 1 	 14 	 35 	 106569
soulfulsunday 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
SundayMorning 	 1155192156 	 1.5522395090 	 .0010050251 	 1 	 19 	 69 	 106569
BetoForGovernor 	 1155192156 	 11.7145585595 	 .0070351758 	 7 	 16 	 64 	 106569
TrumpIsGuilty 	 1155192156 	 5.9502529830 	 .0010050251 	 1 	 10 	 18 	 106569
LSSC 	 1155192156 	 4.8683877561 	 .0010050251 	 1 	 12 	 22 	 106569
TxVotes 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
BREAKING 	 1155192156 	 .3055763803 	 .0020100502 	 2 	 362 	 701 	 106569
VotingRights 	 1155192156 	 4 4 2 2 1 1 1 1 2.2788196598 	 4 4 2 2 1 1 1 1 .0010050251 	 4 4 2 2 1 1 1 1 1 	 14 	 47 	 106569
OTD 	 1155192156 	 1.5300646386 	 .0010050251 	 1 	 36 	 70 	 106569
RGV 	 1155192156 	 26.7761780558 	 .0010050251 	 1 	 2 	 4 	 106569
rewild 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
climatechange 	 1155192156 	 2.3283592635 	 .0010050251 	 1 	 14 	 46 	 106569
pharmapartner 	 1155192156 	 35.7016024468 	 .0010050251 	 1 	 2 	 3 	 106569
ad 	 1155192156 	 2 1 1 1 1 6.3002683032 	 2 1 1 1 1 .0010050251 	 2 1 1 1 1 1 	 2 	 17 	 106569
Russia 	 1155192156 	 11 2 1 1 1 1 1 .0440578034 	 11 2 1 1 1 1 1 .0010050251 	 11 2 1 1 1 1 1 1 	 1029 	 2431 	 106569
Ukraine 	 1155192156 	 30 6 2 1 1 1 1 1 1 1 1 .0000001653 232 .0000656851 	 30 6 2 1 1 1 1 1 1 1 1 .0010050251 	 30 6 2 1 1 1 1 1 1 1 1 1 	 2509 83 4 	 6080 232 7 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
myocarditis 	 1155192156 	 13.3880711934 	 .0010050251 	 1 	 2 	 8 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
CanadianTruckers 	 1155192156 	 11.9005059660 	 .0010050251 	 1 	 3 	 9 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
RCMP 	 1155192156 	 10.7104541012 	 .0010050251 	 1 	 3 	 10 	 106569
SarahPalin 	 1155192156 	 8.9253768324 	 .0010050251 	 1 	 5 	 12 	 106569
Veterans 	 1155192156 	 35.7016024468 	 .0010050251 	 1 	 1 	 3 	 106569
VoteEarly 	 1155192156 	 35.7016024468 	 .0010050251 	 1 	 1 	 3 	 106569
Vote 	 1155192156 	 2 2 2 2 1 1 1 1.7558118103 	 2 2 2 2 1 1 1 .0010050251 	 2 2 2 2 1 1 1 1 	 7 	 61 	 106569
IvanReitman 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
RIP 	 1155192156 	 1 .0000295595 .0000093835 	 1 .0010050251 	 1 1 	 5 	 34 1 	 106569
SomethingNew 	 1155192156 	 13.3880711934 	 .0010050251 	 1 	 2 	 8 	 106569
txlege 	 1155192156 	 7.3503108210 	 .0070351758 	 7 	 16 	 102 	 106569
TX35 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
ChipRoy 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
GOP 	 1155192156 	 3 1 1 1 1.5985750610 	 3 1 1 1 .0010050251 	 3 1 1 1 1 	 16 	 67 	 106569
Beto 	 1155192156 	 7 4 1 21.4209310305 	 7 4 1 .0010050251 	 7 4 1 1 	 2 	 5 	 106569
WomensRights 	 1155192156 	 7.1403052706 	 .0010050251 	 1 	 4 	 15 	 106569
gerrymandering 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
axiosam 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
ForThePeople 	 1155192156 	 2 3.4549850751 	 2 .0010050251 	 2 1 	 4 	 31 	 106569
TheBeatles 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
txed 	 1155192156 	 26.7761430529 	 .0040201005 	 4 	 5 	 16 	 106569
txlege 	 1155192156 	 7.3503108210 	 .0070351758 	 7 	 16 	 102 	 106569
votemarch1 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
downballot 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
BlackHistoryMonth 	 1155192156 	 2.2313442081 	 .0020100502 	 2 	 30 	 96 	 106569
Medicine 	 1155192156 	 9.7367755123 	 .0010050251 	 1 	 1 	 11 	 106569
Science 	 1155192156 	 2.3801006295 	 .0010050251 	 1 	 6 	 45 	 106569
Alabama 	 1155192156 	 11.9005059660 	 .0010050251 	 1 	 3 	 9 	 106569
Vote 	 1155192156 	 2 2 2 2 1 1 1 1.7558118103 	 2 2 2 2 1 1 1 .0010050251 	 2 2 2 2 1 1 1 1 	 7 	 61 	 106569
BoomersForBeto 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
Texas 	 1155192156 	 6 4 4.0164197529 	 6 4 .0030150753 	 6 4 3 	 30 	 80 	 106569
Butterfly 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
Nature 	 1155192156 	 5.1002159798 	 .0010050251 	 1 	 7 	 21 	 106569
civics 	 1155192156 	 35.7016024468 	 .0010050251 	 1 	 1 	 3 	 106569
apgov 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
DJTrumpPlaylist 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
GOPCoup 	 1155192156 	 6.6940355967 	 .0010050251 	 1 	 5 	 16 	 106569
windpower 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
Texas 	 1155192156 	 6 4 4.0164197529 	 6 4 .0030150753 	 6 4 3 	 30 	 80 	 106569
electricity 	 1155192156 	 21.4209310305 	 .0010050251 	 1 	 2 	 5 	 106569
History 	 1155192156 	 2 2.4908030941 	 2 .0010050251 	 2 1 	 13 	 43 	 106569
grid 	 1155192156 	 1 53.5524987877 	 1 .0010050251 	 1 1 	 1 	 2 	 106569
OpeningNight 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
ThankYou 	 1155192156 	 13.3880711934 	 .0010050251 	 1 	 2 	 8 	 106569
Trump 	 1155192156 	 6 5 1 1 1 1 .8851613322 	 6 5 1 1 1 1 .0010050251 	 6 5 1 1 1 1 1 	 46 	 121 	 106569
ThePeoplesAttorney 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
ohsen 	 1155192156 	 35.7016024468 	 .0010050251 	 1 	 1 	 3 	 106569
Mississippi 	 1155192156 	 17.8507695176 	 .0010050251 	 1 	 3 	 6 	 106569
Trump 	 1155192156 	 6 5 1 1 1 1 .8851613322 	 6 5 1 1 1 1 .0010050251 	 6 5 1 1 1 1 1 	 46 	 121 	 106569
Atlanta 	 1155192156 	 11.9005059660 	 .0010050251 	 1 	 3 	 9 	 106569
Georgia 	 1155192156 	 3.2455918374 	 .0010050251 	 1 	 12 	 33 	 106569
Republican 	 1155192156 	 2 4.6567185271 	 2 .0010050251 	 2 1 	 8 	 23 	 106569
MTG 	 1155192156 	 6.6940355967 	 .0010050251 	 1 	 3 	 16 	 106569
NYTCooking 	 1155192156 	 15.3006557042 	 .0010050251 	 1 	 5 	 7 	 106569
TrumpRally 	 1155192156 	 5.3552265864 	 .0050251256 	 5 	 46 	 100 	 106569
covidnews 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
ChildTaxCredit 	 1155192156 	 15.3006557042 	 .0020100502 	 2 	 7 	 14 	 106569
BidenBOOM 	 1155192156 	 35.7016024468 	 .0010050251 	 1 	 1 	 3 	 106569
JoeBiden 	 1155192156 	 4.1194060989 	 .0010050251 	 1 	 8 	 26 	 106569
BidenBoom 	 1155192156 	 4.9816061883 	 .0020100502 	 2 	 17 	 43 	 106569
Texas 	 1155192156 	 6 4 4.0164197529 	 6 4 .0030150753 	 6 4 3 	 30 	 80 	 106569
votingrights 	 1155192156 	 17.8507695176 	 .0010050251 	 1 	 1 	 6 	 106569
GOP 	 1155192156 	 3 1 1 1 1.5985750610 	 3 1 1 1 .0010050251 	 3 1 1 1 1 	 16 	 67 	 106569
healthcareworkers 	 1155192156 	 8.9253768324 	 .0010050251 	 1 	 3 	 12 	 106569
TeamPelosi 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
LongCovid 	 1155192156 	 12 .0957144952 	 12 .0020100502 	 12 2 	 956 	 2238 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
LongCovid 	 1155192156 	 12 .0957144952 	 12 .0020100502 	 12 2 	 956 	 2238 	 106569
BetoForGovernor 	 1155192156 	 11.7145585595 	 .0070351758 	 7 	 16 	 64 	 106569
BenFrazier 	 1155192156 	 8.9253768324 	 .0010050251 	 1 	 6 	 12 	 106569
Blackvotersmatter 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
JCAC 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
aclu 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
BA2 	 1155192156 	 11 .2711506891 	 11 .0010050251 	 11 1 	 222 	 395 	 106569
Omicron 	 1155192156 	 1.4059066237 	 .0110552763 	 11 	 316 	 838 	 106569
txlege 	 1155192156 	 7.3503108210 	 .0070351758 	 7 	 16 	 102 	 106569
Russia 	 1155192156 	 11 2 1 1 1 1 1 .0440578034 	 11 2 1 1 1 1 1 .0010050251 	 11 2 1 1 1 1 1 1 	 1029 	 2431 	 106569
BREAKING 	 1155192156 	 .3055763803 	 .0020100502 	 2 	 362 	 701 	 106569
FreshResists 	 1155192156 	 3.8947102049 	 .0020100502 	 2 	 9 	 55 	 106569
LongCovid 	 1155192156 	 12 .0957144952 	 12 .0020100502 	 12 2 	 956 	 2238 	 106569
LongCovid 	 1155192156 	 12 .0957144952 	 12 .0020100502 	 12 2 	 956 	 2238 	 106569
VoteBlue2022 	 1155192156 	 3.8947102049 	 .0020100502 	 2 	 6 	 55 	 106569
BA2 	 1155192156 	 11 .2711506891 	 11 .0010050251 	 11 1 	 222 	 395 	 106569
Omicron 	 1155192156 	 1.4059066237 	 .0110552763 	 11 	 316 	 838 	 106569
Omicron 	 1155192156 	 1.4059066237 	 .0110552763 	 11 	 316 	 838 	 106569
redistricting 	 1155192156 	 26.7761780558 	 .0010050251 	 1 	 2 	 4 	 106569
istandwithukraine 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
democrat 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
genetic 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
MitchPlease 	 1155192156 	 3.6183962588 	 .0050251256 	 5 	 79 	 148 	 106569
ZeroCovid 	 1155192156 	 .8707685280 	 .0010050251 	 1 	 15 	 123 	 106569
STANDWITHBIDEN 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
MarchForLife 	 1155192156 	 35.7016024468 	 .0010050251 	 1 	 2 	 3 	 106569
BigLie 	 1155192156 	 13.3880711934 	 .0010050251 	 1 	 3 	 8 	 106569
TX24 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
BidenYear1Wins 	 1155192156 	 17.8507695176 	 .0010050251 	 1 	 2 	 6 	 106569
MorningJoe 	 1155192156 	 12.3582182968 	 .0030150753 	 3 	 8 	 26 	 106569
MitchPlease 	 1155192156 	 3.6183962588 	 .0050251256 	 5 	 79 	 148 	 106569
ElectionFraud 	 1155192156 	 26.7761780558 	 .0010050251 	 1 	 1 	 4 	 106569
Omicron 	 1155192156 	 1.4059066237 	 .0110552763 	 11 	 316 	 838 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
HD70 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
MitchPlease 	 1155192156 	 3.6183962588 	 .0050251256 	 5 	 79 	 148 	 106569
Mitchplease 	 1155192156 	 9.7367755123 	 .0020100502 	 2 	 13 	 22 	 106569
MitchPlease 	 1155192156 	 3.6183962588 	 .0050251256 	 5 	 79 	 148 	 106569
MitchPlease 	 1155192156 	 3.6183962588 	 .0050251256 	 5 	 79 	 148 	 106569
VotingRightsMatter 	 1155192156 	 21.4209310305 	 .0010050251 	 1 	 2 	 5 	 106569
Mitchplease 	 1155192156 	 9.7367755123 	 .0020100502 	 2 	 13 	 22 	 106569
MitchMcConnell 	 1155192156 	 4.4626884162 	 .0010050251 	 1 	 12 	 24 	 106569
blackvotersmatter 	 1155192156 	 35.7016024468 	 .0010050251 	 1 	 2 	 3 	 106569
VotingRightsActNow 	 1155192156 	 11.9005059660 	 .0010050251 	 1 	 4 	 9 	 106569
VotingRightsAct 	 1155192156 	 2 1.7558118103 	 2 .0010050251 	 2 1 	 19 	 61 	 106569
mitchplease 	 1155192156 	 6.6940355967 	 .0010050251 	 1 	 12 	 16 	 106569
MorningJoe 	 1155192156 	 12.3582182968 	 .0030150753 	 3 	 8 	 26 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
OathKeepers 	 1155192156 	 23.8010119321 	 .0020100502 	 2 	 4 	 9 	 106569
OathKeepers 	 1155192156 	 23.8010119321 	 .0020100502 	 2 	 4 	 9 	 106569
OCGala2022 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
Trump 	 1155192156 	 6 5 1 1 1 1 .8851613322 	 6 5 1 1 1 1 .0010050251 	 6 5 1 1 1 1 1 	 46 	 121 	 106569
Michigan 	 1155192156 	 11.9005059660 	 .0010050251 	 1 	 3 	 9 	 106569
GOP 	 1155192156 	 3 1 1 1 1.5985750610 	 3 1 1 1 .0010050251 	 3 1 1 1 1 	 16 	 67 	 106569
JustLikeMe 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
JohnLewisFreedomAct 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
VotingRightsForThePeople 	 1155192156 	 5.6370814221 	 .0010050251 	 1 	 6 	 19 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
MLK 	 1155192156 	 2 1 2.8947175747 	 2 1 .0010050251 	 2 1 1 	 11 	 37 	 106569
Alzheimers 	 1155192156 	 3.9668353220 	 .0010050251 	 1 	 10 	 27 	 106569
dementia 	 1155192156 	 3.1501331642 	 .0010050251 	 1 	 11 	 34 	 106569
science 	 1155192156 	 6.4911836749 	 .0020100502 	 2 	 7 	 33 	 106569
VotingRightsForMLK 	 1155192156 	 9.7367755123 	 .0010050251 	 1 	 2 	 11 	 106569
MLK 	 1155192156 	 2 1 2.8947175747 	 2 1 .0010050251 	 2 1 1 	 11 	 37 	 106569
Omicron 	 1155192156 	 1.4059066237 	 .0110552763 	 11 	 316 	 838 	 106569
SARSCoV2 	 1155192156 	 2.5501077298 	 .0040201005 	 4 	 62 	 168 	 106569
LongCovid 	 1155192156 	 12 .0957144952 	 12 .0020100502 	 12 2 	 956 	 2238 	 106569
LongCovidKids 	 1155192156 	 1.3388065843 	 .0020100502 	 2 	 27 	 160 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
PoorPeoplesCampaign 	 1155192156 	 15.3006557042 	 .0010050251 	 1 	 3 	 7 	 106569
MLKDay 	 1155192156 	 1.1394098299 	 .0010050251 	 1 	 22 	 94 	 106569
LongCOVID 	 1155192156 	 1.8153309084 	 .0020100502 	 2 	 57 	 118 	 106569
TrumpRally 	 1155192156 	 5.3552265864 	 .0050251256 	 5 	 46 	 100 	 106569
TrumpRally 	 1155192156 	 5.3552265864 	 .0050251256 	 5 	 46 	 100 	 106569
VoterSuppression 	 1155192156 	 53.5523561116 	 .0020100502 	 2 	 2 	 4 	 106569
Jan6 	 1155192156 	 1 3.8251624701 	 1 .0010050251 	 1 1 	 9 	 28 	 106569
ChildTaxCredit 	 1155192156 	 15.3006557042 	 .0020100502 	 2 	 7 	 14 	 106569
BetoForTexas 	 1155192156 	 7.1403016435 	 .0040201005 	 4 	 12 	 60 	 106569
BetoForGovernor 	 1155192156 	 11.7145585595 	 .0070351758 	 7 	 16 	 64 	 106569
VoteBlueIn2022 	 1155192156 	 1.8790267893 	 .0010050251 	 1 	 9 	 57 	 106569
WeWantVotingRights 	 1155192156 	 15.3006502613 	 .0040201005 	 4 	 11 	 28 	 106569
BetoForGovernor 	 1155192156 	 11.7145585595 	 .0070351758 	 7 	 16 	 64 	 106569
BetoForGovernor 	 1155192156 	 11.7145585595 	 .0070351758 	 7 	 16 	 64 	 106569
WeWantVotingRights 	 1155192156 	 15.3006502613 	 .0040201005 	 4 	 11 	 28 	 106569
WeWantVotingRights 	 1155192156 	 15.3006502613 	 .0040201005 	 4 	 11 	 28 	 106569
LivingOurLegacy 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
DST1913 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
DST109 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
WeWantVotingRights 	 1155192156 	 15.3006502613 	 .0040201005 	 4 	 11 	 28 	 106569
OnMyWalk 	 1155192156 	 26.7761780558 	 .0010050251 	 1 	 2 	 4 	 106569
VotingRightsAct 	 1155192156 	 2 1.7558118103 	 2 .0010050251 	 2 1 	 19 	 61 	 106569
VotingRightsNow 	 1155192156 	 5.3552270506 	 .0010050251 	 1 	 5 	 20 	 106569
LongCovid 	 1155192156 	 12 .0957144952 	 12 .0020100502 	 12 2 	 956 	 2238 	 106569
SCOTUS 	 1155192156 	 2.1000887030 	 .0030150753 	 3 	 49 	 153 	 106569
FightForVotingRights 	 1155192156 	 19.4735510247 	 .0020100502 	 2 	 3 	 11 	 106569
FightForVotingRights 	 1155192156 	 19.4735510247 	 .0020100502 	 2 	 3 	 11 	 106569
AbbottFailedTexas 	 1155192156 	 21.4209158118 	 .0030150753 	 3 	 5 	 15 	 106569
fixthedamngrid 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
HR5746 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
DemocracyAlerts 	 1155192156 	 35.7016024468 	 .0010050251 	 1 	 2 	 3 	 106569
LongCovid 	 1155192156 	 12 .0957144952 	 12 .0020100502 	 12 2 	 956 	 2238 	 106569
VotingRights 	 1155192156 	 4 4 2 2 1 1 1 1 2.2788196598 	 4 4 2 2 1 1 1 1 .0010050251 	 4 4 2 2 1 1 1 1 1 	 14 	 47 	 106569
EndTheFilibuster 	 1155192156 	 9.7367755123 	 .0010050251 	 1 	 3 	 11 	 106569
inspiration 	 1155192156 	 13.3880711934 	 .0010050251 	 1 	 4 	 8 	 106569
MondayMotivation 	 1155192156 	 4.4626884162 	 .0010050251 	 1 	 3 	 24 	 106569
worklife 	 1155192156 	 26.7761780558 	 .0010050251 	 1 	 2 	 4 	 106569
leadership 	 1155192156 	 9.7367755123 	 .0010050251 	 1 	 2 	 11 	 106569
MorningJoe 	 1155192156 	 12.3582182968 	 .0030150753 	 3 	 8 	 26 	 106569
TFG 	 1155192156 	 10.0410500511 	 .0030150753 	 3 	 9 	 32 	 106569
COVID19 	 1155192156 	 .9842227235 	 .0281407035 	 28 	 1096 	 3047 	 106569
longcovid 	 1155192156 	 .4538327271 	 .0010050251 	 1 	 104 	 236 	 106569
VotingRights 	 1155192156 	 4 4 2 2 1 1 1 1 2.2788196598 	 4 4 2 2 1 1 1 1 .0010050251 	 4 4 2 2 1 1 1 1 1 	 14 	 47 	 106569
Southlake 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
AbbottTax 	 1155192156 	 26.7761780558 	 .0010050251 	 1 	 1 	 4 	 106569
DefendDemocracy 	 1155192156 	 8.2388155748 	 .0010050251 	 1 	 2 	 13 	 106569
science 	 1155192156 	 6.4911836749 	 .0020100502 	 2 	 7 	 33 	 106569
coronavirus 	 1155192156 	 2.4621731454 	 .0020100502 	 2 	 24 	 87 	 106569
vaccine 	 1155192156 	 2.6123058104 	 .0010050251 	 1 	 13 	 41 	 106569
California 	 1155192156 	 .7761197545 	 .0010050251 	 1 	 57 	 138 	 106569
Texas 	 1155192156 	 6 4 4.0164197529 	 6 4 .0030150753 	 6 4 3 	 30 	 80 	 106569
NationalLawEnforcementAppreciationDay 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
UnlikelyReasonsToRage 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
truestory 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
HappyBirthdayDavidBowie 	 1155192156 	 53.5524987877 	 .0010050251 	 1 	 1 	 2 	 106569
