hashtag_H 	 cluster_C_leader(userID) 	 relative_frequency_H_C 	 frequency_H_in_C 	 frequency_H_overall 	 count_H_in_C 	 count_hashtags_in_C 	 count_H_entire_dataset 	 count_hashtags_entire_dataset
COVID 	 100256670 	 5 .9444257389 	 5 .0038461538 	 5 1 	 169 	 434 	 106569
TOGETHER 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
LGBTQ 	 100256670 	 11.0778600423 	 .0076923076 	 2 	 21 	 74 	 106569
NEW 	 100256670 	 39.0362689883 	 .0076923076 	 2 	 11 	 21 	 106569
UNFIT 	 100256670 	 136.6272881313 	 .0038461538 	 1 	 1 	 3 	 106569
Russia 	 100256670 	 11 6 2 1 .1686058272 	 11 6 2 1 .0038461538 	 11 6 2 1 1 	 1029 	 2431 	 106569
RaDondaVaught 	 100256670 	 102.4703750969 	 .0038461538 	 1 	 1 	 4 	 106569
MedTwitter 	 100256670 	 3.8667998041 	 .0038461538 	 1 	 27 	 106 	 106569
NurseTwitter 	 100256670 	 19.5181344941 	 .0038461538 	 1 	 4 	 21 	 106569
COVID19 	 100256670 	 .6725972589 	 .0192307692 	 5 	 1096 	 3047 	 106569
scotus 	 100256670 	 117.1088663943 	 .0076923076 	 2 	 3 	 7 	 106569
OTD 	 100256670 	 11.7108795079 	 .0076923076 	 2 	 36 	 70 	 106569
FBIWFO 	 100256670 	 45.5423215235 	 .0038461538 	 1 	 5 	 9 	 106569
Voronezh 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
Ukraine 	 100256670 	 14 2 1 .0000006325 232 .0000656851 	 14 2 1 .0038461538 	 14 2 1 1 	 2509 83 4 	 6080 232 7 	 106569
WomensFuturesMonth 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
LGBTQ 	 100256670 	 11.0778600423 	 .0076923076 	 2 	 21 	 74 	 106569
RNA2022 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
OTD 	 100256670 	 11.7108795079 	 .0076923076 	 2 	 36 	 70 	 106569
nytimes 	 100256670 	 81.9762563968 	 .0038461538 	 1 	 2 	 5 	 106569
DontSayGay 	 100256670 	 8.1976169035 	 .0038461538 	 1 	 20 	 50 	 106569
scotus 	 100256670 	 117.1088663943 	 .0076923076 	 2 	 3 	 7 	 106569
AtheistDay 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
TuckyoRose 	 100256670 	 25.6175596486 	 .0038461538 	 1 	 5 	 16 	 106569
BREAKING 	 100256670 	 3.5082519828 	 .0230769230 	 6 	 362 	 701 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
Obergefell 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
UkraineRussianWar 	 100256670 	 3.3323640752 	 .0076923076 	 2 	 74 	 246 	 106569
Ukrainian 	 100256670 	 1 .8197615331 	 1 .0038461538 	 1 1 	 218 	 500 	 106569
RussianUkrainianWar 	 100256670 	 3.7261887796 	 .0038461538 	 1 	 15 	 110 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
Ukraine 	 100256670 	 14 2 1 .0000006325 232 .0000656851 	 14 2 1 .0038461538 	 14 2 1 1 	 2509 83 4 	 6080 232 7 	 106569
ukraine 	 100256670 	 2.7883045234 	 .0038461538 	 1 	 44 	 147 	 106569
coal 	 100256670 	 34.1567310313 	 .0038461538 	 1 	 4 	 12 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
UPDATE 	 100256670 	 2.5941820744 	 .0038461538 	 1 	 82 	 158 	 106569
Stargate 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
intelligence 	 100256670 	 136.6272881313 	 .0038461538 	 1 	 1 	 3 	 106569
Xi 	 100256670 	 81.9762563968 	 .0038461538 	 1 	 2 	 5 	 106569
YachtWatch 	 100256670 	 48.2212849718 	 .0076923076 	 2 	 9 	 17 	 106569
Mariupol 	 100256670 	 .6632374900 	 .0038461538 	 1 	 287 	 618 	 106569
Russia 	 100256670 	 11 6 2 1 .1686058272 	 11 6 2 1 .0038461538 	 11 6 2 1 1 	 1029 	 2431 	 106569
StarTrekPicard 	 100256670 	 122.9642546189 	 .0115384615 	 3 	 3 	 10 	 106569
YachtWatch 	 100256670 	 48.2212849718 	 .0076923076 	 2 	 9 	 17 	 106569
Strongmen 	 100256670 	 23.6469710728 	 .0115384615 	 3 	 26 	 52 	 106569
Strongmen 	 100256670 	 23.6469710728 	 .0115384615 	 3 	 26 	 52 	 106569
SB8 	 100256670 	 68.3135227303 	 .0038461538 	 1 	 2 	 6 	 106569
BREAKING 	 100256670 	 3.5082519828 	 .0230769230 	 6 	 362 	 701 	 106569
