hashtag_H 	 cluster_C_leader(userID) 	 relative_frequency_H_C 	 frequency_H_in_C 	 frequency_H_overall 	 count_H_in_C 	 count_hashtags_in_C 	 count_H_entire_dataset 	 count_hashtags_entire_dataset
pandemic 	 1094971056358637568 	 32.2204106806 	 .0408163265 	 2 	 3 	 135 	 106569
Covid19 	 1094971056358637568 	 6.0920941262 	 .0204081632 	 1 	 3 	 357 	 106569
herdimmunity 	 1094971056358637568 	 228.9345368902 	 .0408163265 	 2 	 2 	 19 	 106569
MeToo 	 1094971056358637568 	 131.8107738040 	 .0408163265 	 2 	 2 	 33 	 106569
NoWarWithRussia 	 1094971056358637568 	 10.4561420659 	 .0204081632 	 1 	 2 	 208 	 106569
NoWar 	 1094971056358637568 	 1 17.5393363827 	 1 .0204081632 	 1 1 	 2 	 124 	 106569
Uyghurs 	 1094971056358637568 	 114.4672681646 	 .0204081632 	 1 	 1 	 19 	 106569
COVID19 	 1094971056358637568 	 6.4239901537 	 .1836734693 	 9 	 61 	 3047 	 106569
Putin 	 1094971056358637568 	 2.8806325280 	 .0204081632 	 1 	 3 	 755 	 106569
imperialism 	 1094971056358637568 	 724.9611270767 	 .0204081632 	 1 	 1 	 3 	 106569
Pandemic 	 1094971056358637568 	 181.2397989042 	 .0204081632 	 1 	 1 	 12 	 106569
Covid_19 	 1094971056358637568 	 32.2204106806 	 .0408163265 	 2 	 2 	 135 	 106569
MeToo 	 1094971056358637568 	 131.8107738040 	 .0408163265 	 2 	 2 	 33 	 106569
Ukraine 	 1094971056358637568 	 2 1 1 .0000033566 232 .0000656851 	 2 1 1 .0204081632 	 2 1 1 1 	 28 4 	 6080 232 7 	 106569
NATO 	 1094971056358637568 	 7.1778137548 	 .0204081632 	 1 	 3 	 303 	 106569
UkraineRussianWar 	 1094971056358637568 	 17.6819320267 	 .0408163265 	 2 	 3 	 246 	 106569
NoFlyZoneOverUkraine 	 1094971056358637568 	 47.2799493658 	 .0204081632 	 1 	 4 	 46 	 106569
COVID19 	 1094971056358637568 	 6.4239901537 	 .1836734693 	 9 	 61 	 3047 	 106569
UkraineRussianWar 	 1094971056358637568 	 17.6819320267 	 .0408163265 	 2 	 3 	 246 	 106569
Omicron 	 1094971056358637568 	 7.7859578783 	 .0612244897 	 3 	 31 	 838 	 106569
UkraineWar 	 1094971056358637568 	 7.0842919163 	 .0204081632 	 1 	 2 	 307 	 106569
Mariupol 	 1094971056358637568 	 3.5192193658 	 .0204081632 	 1 	 2 	 618 	 106569
NYTimes 	 1094971056358637568 	 362.4796632561 	 .1020408163 	 5 	 5 	 30 	 106569
BA2 	 1094971056358637568 	 5.5060192195 	 .0204081632 	 1 	 45 	 395 	 106569
COVID19 	 1094971056358637568 	 6.4239901537 	 .1836734693 	 9 	 61 	 3047 	 106569
ZeroCovid 	 1094971056358637568 	 70.7277311709 	 .0816326530 	 4 	 7 	 123 	 106569
WarCriminal 	 1094971056358637568 	 217.4877973142 	 .0204081632 	 1 	 1 	 10 	 106569
NYTimes 	 1094971056358637568 	 362.4796632561 	 .1020408163 	 5 	 5 	 30 	 106569
เจ้าแก้มก้อน 	 1095523459877068800 	 4 .0003116721 .0001219866 	 4 .2222222222 	 4 2 	 9 2 	 713 13 	 106569
fluke_natouch 	 1095523459877068800 	 43.5330888031 	 .2222222222 	 2 	 3 	 544 	 106569
เจ้าแก้มก้อน 	 1095523459877068800 	 4 .0003116721 .0001219866 	 4 .2222222222 	 4 2 	 9 2 	 713 13 	 106569
fluke_natouch 	 1095523459877068800 	 43.5330888031 	 .2222222222 	 2 	 3 	 544 	 106569
เจ้าแก้มก้อน 	 1095523459877068800 	 4 .0003116721 .0001219866 	 4 .2222222222 	 4 2 	 9 2 	 713 13 	 106569
ไขมันของเจ้าแก้มก้อน 	 1095523459877068800 	 1821.6937122601 	 .2222222222 	 2 	 2 	 13 	 106569
UWMAseries 	 1095523459877068800 	 696.5296801048 	 .1111111111 	 1 	 1 	 17 	 106569
เจ้าแก้มก้อน 	 1095523459877068800 	 4 .0003116721 .0001219866 	 4 .2222222222 	 4 2 	 9 2 	 713 13 	 106569
ไขมันของเจ้าแก้มก้อน 	 1095523459877068800 	 1821.6937122601 	 .2222222222 	 2 	 2 	 13 	 106569
COVID19 	 1096205507348623360 	 4.9964367866 	 .1428571428 	 1 	 61 	 3047 	 106569
VoteFordOut2022 	 1096205507348623360 	 102.8658370365 	 .1428571428 	 1 	 13 	 148 	 106569
VoteThemAllOut2022 	 1096205507348623360 	 99.5042053313 	 .1428571428 	 1 	 5 	 153 	 106569
NeverVoteConservative 	 1096205507348623360 	 56.3857164853 	 .1428571428 	 1 	 3 	 270 	 106569
FlutruxKlan 	 1096205507348623360 	 15224.2918740342 	 .1428571428 	 1 	 2 	 1 	 106569
TinfoilOfTheMonth 	 1096205507348623360 	 15224.2918740342 	 .1428571428 	 1 	 2 	 1 	 106569
bcpoli 	 1096205507348623360 	 27.9342073881 	 .1428571428 	 1 	 9 	 545 	 106569
WeTVxOhmFluke 	 1098819491780153345 	 296.0250058242 	 .1000000000 	 1 	 3 	 36 	 106569
609BedTimeStory 	 1098819491780153345 	 819.7621705990 	 .1000000000 	 1 	 1 	 13 	 106569
เจ้าแก้มก้อน 	 1098819491780153345 	 .0005610098 .0001219866 	 .4000000000 	 4 	 9 2 	 713 13 	 106569
fluke_natouch 	 1098819491780153345 	 19.5898899633 	 .1000000000 	 1 	 3 	 544 	 106569
เจ้าแก้มก้อน 	 1098819491780153345 	 .0005610098 .0001219866 	 .4000000000 	 4 	 9 2 	 713 13 	 106569
เจ้าแก้มก้อน 	 1098819491780153345 	 .0005610098 .0001219866 	 .4000000000 	 4 	 9 2 	 713 13 	 106569
Fluke_Natouch 	 1098819491780153345 	 167.8252060201 	 .2000000000 	 2 	 2 	 127 	 106569
เจ้าแก้มก้อน 	 1098819491780153345 	 .0005610098 .0001219866 	 .4000000000 	 4 	 9 2 	 713 13 	 106569
Fluke_Natouch 	 1098819491780153345 	 167.8252060201 	 .2000000000 	 2 	 2 	 127 	 106569
LoveAt9Q22 	 1098819491780153345 	 3552.3095340435 	 .1000000000 	 1 	 1 	 3 	 106569
REDSHEILDS 	 1104524508709441536 	 5920.5018691024 	 .5000000000 	 1 	 2 	 9 	 106569
commonlaw 	 1104524508709441536 	 6660.5655885875 	 .5000000000 	 1 	 2 	 8 	 106569
LeMMMMMMRip 	 1108565574 	 220.6397837866 	 .0869565217 	 2 	 6 	 42 	 106569
auspol 	 1108565574 	 7.5422161762 	 .1304347826 	 3 	 97 	 1843 	 106569
AlboForPM 	 1108565574 	 20.4116074206 	 .0434782608 	 1 	 21 	 227 	 106569
abc730 	 1108565574 	 49.8218817106 	 .0434782608 	 1 	 2 	 93 	 106569
ScottyDoesntGiveARats 	 1108565574 	 463.3435689325 	 .0434782608 	 1 	 5 	 10 	 106569
auspol 	 1108565574 	 7.5422161762 	 .1304347826 	 3 	 97 	 1843 	 106569
auspol 	 1108565574 	 7.5422161762 	 .1304347826 	 3 	 97 	 1843 	 106569
Morrison 	 1108565574 	 144.7948556472 	 .0434782608 	 1 	 9 	 32 	 106569
VoteThemAllOut2022 	 1108565574 	 30.2838885427 	 .0434782608 	 1 	 5 	 153 	 106569
livingwithcovid 	 1108565574 	 661.9196865042 	 .0434782608 	 1 	 3 	 7 	 106569
living 	 1108565574 	 1 2316.7277203190 	 1 .0434782608 	 1 1 	 2 	 2 	 106569
LeMMMMMMRip 	 1108565574 	 220.6397837866 	 .0869565217 	 2 	 6 	 42 	 106569
Oz 	 1108565574 	 1544.4824036347 	 .0434782608 	 1 	 4 	 3 	 106569
taxpayer 	 1108565574 	 4633.4801300154 	 .0434782608 	 1 	 2 	 1 	 106569
warfare 	 1108565574 	 4633.4801300154 	 .0434782608 	 1 	 2 	 1 	 106569
schools 	 1108565574 	 107.7543103448 	 .0434782608 	 1 	 3 	 43 	 106569
LNPDisgrace 	 1108565574 	 84.2442770988 	 .0434782608 	 1 	 10 	 55 	 106569
insiders 	 1108565574 	 15.7599822529 	 .0434782608 	 1 	 3 	 294 	 106569
ScottyDoesNothing 	 1108565574 	 118.8060465624 	 .0434782608 	 1 	 3 	 39 	 106569
ScottyTheSOOOOOObag 	 1108565574 	 386.1195721965 	 .0434782608 	 1 	 2 	 12 	 106569
LNPCorruptionParty 	 1108565574 	 62.6139921948 	 .0434782608 	 1 	 13 	 74 	 106569
ScottyThePathologicalLiar 	 1108565574 	 92.6687137865 	 .0434782608 	 1 	 7 	 50 	 106569
ausvotes 	 1108565574 	 18.2418694250 	 .0434782608 	 1 	 15 	 254 	 106569
AgedCare 	 1113341312 	 7104.6190680871 	 .2000000000 	 1 	 1 	 3 	 106569
HealthCare 	 1113341312 	 10656.9475305188 	 .2000000000 	 1 	 1 	 2 	 106569
ReligiousDiscriminationBill 	 1113341312 	 1332.1131177175 	 .2000000000 	 1 	 2 	 16 	 106569
auspol 	 1113341312 	 23.1294629419 	 .4000000000 	 2 	 97 	 1843 	 106569
auspol 	 1113341312 	 23.1294629419 	 .4000000000 	 2 	 97 	 1843 	 106569
GOPLiesAboutEverything 	 11134252 	 8880.7580615081 	 .5000000000 	 1 	 1 	 6 	 106569
GOPBetrayedAmerica 	 11134252 	 4844.0459409317 	 .5000000000 	 1 	 1 	 11 	 106569
LoveAt9Q18 	 1117704370630455296 	 1110.0937718410 	 .2500000000 	 1 	 1 	 24 	 106569
IntroductionLoveAt9 	 1117704370630455296 	 761.2071771484 	 .2500000000 	 1 	 3 	 35 	 106569
โอห์มฟลุ้คฟีเวอร์2021 	 1117704370630455296 	 720.0609113926 	 .5000000000 	 2 	 2 	 74 	 106569
โอห์มฟลุ้คฟีเวอร์2021 	 1117704370630455296 	 720.0609113926 	 .5000000000 	 2 	 2 	 74 	 106569
NYC 	 1120633726478823425 	 58.4259879390 	 .0526315789 	 1 	 3 	 96 	 106569
zelensky 	 1120633726478823425 	 1402.2262011013 	 .0526315789 	 1 	 2 	 4 	 106569
kiew 	 1120633726478823425 	 5608.9496349976 	 .0526315789 	 1 	 2 	 1 	 106569
ukraine 	 1120633726478823425 	 38.1557465339 	 .0526315789 	 1 	 2 	 147 	 106569
UkraineRussiaWar 	 1120633726478823425 	 11.9848180387 	 .0526315789 	 1 	 3 	 468 	 106569
Russia 	 1120633726478823425 	 1 1 2.3072376610 	 1 1 .0526315789 	 1 1 1 	 11 	 2431 	 106569
Ukraine 	 1120633726478823425 	 3 1 1 1 1 .0000086565 232 .0000656851 	 3 1 1 1 1 .0526315789 	 3 1 1 1 1 1 	 28 4 	 6080 232 7 	 106569
Ukraine 	 1120633726478823425 	 3 1 1 1 1 .0000086565 232 .0000656851 	 3 1 1 1 1 .0526315789 	 3 1 1 1 1 1 	 28 4 	 6080 232 7 	 106569
Tbilisi 	 1120633726478823425 	 934.8166372121 	 .0526315789 	 1 	 2 	 6 	 106569
Georgia 	 1120633726478823425 	 169.9665240902 	 .0526315789 	 1 	 2 	 33 	 106569
Ukraine 	 1120633726478823425 	 3 1 1 1 1 .0000086565 232 .0000656851 	 3 1 1 1 1 .0526315789 	 3 1 1 1 1 1 	 28 4 	 6080 232 7 	 106569
Zelensky 	 1120633726478823425 	 42.8159914517 	 .0526315789 	 1 	 4 	 131 	 106569
Ukrainian 	 1120633726478823425 	 11.2177895249 	 .0526315789 	 1 	 7 	 500 	 106569
StandWithUkraine️ 	 1120633726478823425 	 20.1758805982 	 .0526315789 	 1 	 7 	 278 	 106569
LongLiveUkraine 	 1120633726478823425 	 373.9265220548 	 .0526315789 	 1 	 2 	 15 	 106569
StopRussia 	 1120633726478823425 	 29.2129939695 	 .0526315789 	 1 	 3 	 192 	 106569
SlavaUkraini 	 1120633726478823425 	 35.7254446523 	 .0526315789 	 1 	 8 	 157 	 106569
StandWithUkraine 	 1120633726478823425 	 1 .0000340878 .0026086385 	 1 .0526315789 	 1 1 	 21 7 	 1544 278 	 106569
UkraineUnderAttack 	 1120633726478823425 	 21.0860706943 	 .0526315789 	 1 	 2 	 266 	 106569
RESPECT 	 1137827292 	 26642.2978449045 	 1.0000000000 	 1 	 3 	 4 	 106569
FreeJulianRRRRRRange 	 1155845777039810560 	 15224.1528139562 	 1.0000000000 	 1 	 1 	 7 	 106569
LiberalCorruptionParty 	 1189799454506799104 	 13321.1844131485 	 .2500000000 	 1 	 1 	 2 	 106569
Nationals 	 1189799454506799104 	 26642.5107902168 	 .2500000000 	 1 	 1 	 1 	 106569
KilltheBill 	 1189799454506799104 	 5328.4567297342 	 .2500000000 	 1 	 1 	 5 	 106569
ReligiousDiscriminationBill 	 1189799454506799104 	 1665.1413971468 	 .2500000000 	 1 	 2 	 16 	 106569
TX13 	 1201953403099893760 	 13321.1489224522 	 .5000000000 	 1 	 1 	 4 	 106569
VoteBlue2022 	 1201953403099893760 	 968.8091881863 	 .5000000000 	 1 	 3 	 55 	 106569
RubyPrincess 	 1218721688738615297 	 17761.5792157552 	 .3333333333 	 1 	 1 	 2 	 106569
FederalICAC 	 1218721688738615297 	 1614.6819801490 	 .3333333333 	 1 	 1 	 22 	 106569
ScottyTheWorstPrimeMinisterEver 	 1218721688738615297 	 2960.2500579468 	 .3333333333 	 1 	 1 	 12 	 106569
StandWithUkraine 	 1221462414744596483 	 .0003238341 .0026086385 	 .5000000000 	 1 	 21 7 	 1544 278 	 106569
COVID19 	 1236816024281976833 	 9.9928735767 	 .2857142857 	 2 	 61 	 3047 	 106569
onted 	 1236816024281976833 	 146.3859968326 	 .1428571428 	 1 	 1 	 104 	 106569
Covid19Ontario 	 1236816024281976833 	 6524.6369191795 	 .4285714285 	 3 	 3 	 7 	 106569
VaccinesWork 	 1236816024281976833 	 390.3627248879 	 .1428571428 	 1 	 1 	 39 	 106569
Covid19Ontario 	 1236816024281976833 	 6524.6369191795 	 .4285714285 	 3 	 3 	 7 	 106569
COVID19 	 1236816024281976833 	 9.9928735767 	 .2857142857 	 2 	 61 	 3047 	 106569
Covid19Ontario 	 1236816024281976833 	 6524.6369191795 	 .4285714285 	 3 	 3 	 7 	 106569
Denmark 	 1237314642583658496 	 431.4535504873 	 .0769230769 	 1 	 3 	 19 	 106569
Omikron 	 1237314642583658496 	 1639.5251471186 	 .0769230769 	 1 	 2 	 5 	 106569
Omicron 	 1237314642583658496 	 9.7823573467 	 .0769230769 	 1 	 31 	 838 	 106569
BA2 	 1237314642583658496 	 20.7534571186 	 .0769230769 	 1 	 45 	 395 	 106569
endemic 	 1237314642583658496 	 1024.7023979368 	 .0769230769 	 1 	 2 	 8 	 106569
CovidElimination 	 1237314642583658496 	 8197.6956252997 	 .0769230769 	 1 	 2 	 1 	 106569
NoCovid 	 1237314642583658496 	 8197.6956252997 	 .0769230769 	 1 	 2 	 1 	 106569
ZeroCovid 	 1237314642583658496 	 66.6472851718 	 .0769230769 	 1 	 7 	 123 	 106569
COVID19 	 1237314642583658496 	 2.6903890392 	 .0769230769 	 1 	 61 	 3047 	 106569
KeepMasks 	 1237314642583658496 	 8197.6956252997 	 .0769230769 	 1 	 2 	 1 	 106569
Vaccinate 	 1237314642583658496 	 745.2378368428 	 .0769230769 	 1 	 2 	 11 	 106569
longCOVID 	 1237314642583658496 	 264.4392489565 	 .0769230769 	 1 	 2 	 31 	 106569
hepaMMMMMMis 	 1237314642583658496 	 910.8464411271 	 .0769230769 	 1 	 2 	 9 	 106569
Murdoch 	 1238370241169616897 	 215.7268863957 	 .0263157894 	 1 	 5 	 13 	 106569
Morrison 	 1238370241169616897 	 175.2779832746 	 .0526315789 	 2 	 9 	 32 	 106569
Joyce 	 1238370241169616897 	 2804.4598739283 	 .0526315789 	 2 	 4 	 2 	 106569
Morrison 	 1238370241169616897 	 175.2779832746 	 .0526315789 	 2 	 9 	 32 	 106569
